泰文	舊拼音(Sheet)	中文	課次	無法處理的音節
เคยเห็นผลไม้นี้ไหม	khuey hen phonlamai nee mai	見過這個水果嗎？	初 4-5	ผล
ไม่เคยเห็นผลไม้นี้ค่ะ	mai khuey hen phonlamai nee kha	沒見過這個水果。	初 4-5	ผล
ฉันเห็นกับตาเมื่อคืนมีผีจริงๆ	chan hen gap dta muea khuen mee phee jing jing	我親眼看見昨天晚上真的有鬼（女）。	初 4-5	จริง, ๆ
ผมเห็นกับตาเมื่อคืนมีผีจริงๆ	phom hen gap dta muea khuen mee phee jing jing	我親眼看見昨天晚上真的有鬼（男）。	初 4-5	จริง, ๆ
ผมเห็นกับตาเขาทำสกปรก	phom hen gap dta khao tham sokgaprok	我親眼看見他弄髒的（男）。	初 4-5	ปรก, สก
ฉันเห็นกับตาเขาทำสกปรก	chan hen gap dta khao tham sokgaprok	我親眼看見他弄髒的（女）。	初 4-5	ปรก, สก
พวกเขาไม่เห็นด้วย	phuak khao mai hen duay	他們不同意。	初 4-5	พวก
ฉันเห็นใจเพื่อนร่วมงาน	chan hen jai phuean ruam ngan	我同情同事。	初 4-5	ร่วม
做什麼คุณเห็นใจเขา	thammai khun hen jai khao	為什麼你同情他？	初 4-5	做什麼
ลืมใส่หน้ากากอนามัย	luem sai nakak anamai	忘了戴口罩（正式用法）	初 4-5	อนา
ลืมหมดแล้ว	luem mot laeo	全部忘光了	初 4-5	หมด
กินหมดแล้ว	gin mot laeo	全部吃光了	初 4-5	หมด
ขายหมดแล้ว	khai mot laeo	全部賣光了	初 4-5	หมด
ใช้เงินหมดแล้ว	chai ngen mot laeo	錢全部花光了	初 4-5	หมด
บัตร	bat	卡	初 4-5	บัตร
บัตรเติมเงิน	bat toem ngen	加值卡	初 4-5	บัตร
บัตรเครดิต	bat khredit	信用卡	初 4-5	บัตร
บัตรนักเรียน	bat nak rian	學生卡	初 4-5	บัตร
ขอซื้อบัตรเติมเงินหน่อยค่ะ	kho sue bat toem ngen noi kha	我想買加值卡。	初 4-5	บัตร
ขอซื้อยาแก้ปวดหัว	kho sue ya gae puat hua	我想買頭痛藥。	初 4-5	ปวด
ใช้บัตรเครดิตได้ไหมคะ	chai bat khredit dai mai kha	可以用信用卡嗎？	初 4-5	บัตร
พัดลมเสียแล้ว ทิ้งป่ะ	phat lom sia laeo thing pa	電風扇壞了，丟掉吧？	初 4-5	ลม
เพราะว่าเสียดาย อะไรก็ไม่ยอมทิ้ง	phrao wa siadai arai go mai yom thing	因為捨不得，什麼都不肯丟。	初 4-5	เพราะ
เธอร้องไห้ เพราะว่าถูกแฟนทิ้ง	thoe rong hai phrao wa thuk faen thing	她哭是因為被情人甩了。	初 4-5	เพราะ
ทิ้งขยะ	thing khaya	丟垃圾	初 4-5	ขยะ
รถขยะ	rot khaya	垃圾車	初 4-5	ขยะ
คนเก็บขยะ	khon gep khaya	收垃圾的人	初 4-5	ขยะ
ถังขยะ	thang khaya	垃圾桶	初 4-5	ขยะ
ฉันจะรักคุณตลอดไป	chan ja rak khun talot pai	我會永遠愛你	初 4-5	ตลอด
ตลอดชีวิต	talot cheewit	一輩子 / 終生	初 4-5	ตลอด
ฉันจะรักคุณตลอดชีวิต	chan ja rak khun talot cheewit	我會愛你一輩子	初 4-5	ตลอด
มาสายตลอด	ma sai talot	一直遲到	初 4-5	ตลอด
เดี๋ยวอ้วน	diao uan	等一下會胖	初 4-5	อ้วน
ตอนนี้ฝนตก	ton nee fon tok	現在下雨	初 4-5	ฝน
ตอนเดือนมกราคม	ton duean makarakhom	一月的時候	初 4-5	คม, มก
ช่วงนี้	chuang nee	這陣子 / 這段期間	初 4-5	ช่วง
ช่วงนี้ไม่สบาย	chuang nee mai sabai	這陣子不舒服	初 4-5	ช่วง
ช่วงนี้กินเหล้าทุกวัน	chuang nee gin lao thuk wan	這陣子每天喝酒	初 4-5	ช่วง
ช่วงนี้ไม่ว่าง	chuang nee mai wang	這陣子沒空	初 4-5	ช่วง
ช่วงนั้น	chuang nan	那個時期	初 4-5	ช่วง
ช่วงไหน	chuang nai	哪個時期	初 4-5	ช่วง
ช่วงไหนว่าง	chuang nai wang	什麼時候有空？	初 4-5	ช่วง
ช่วงไหนไม่ต้องทำงาน	chuang nai mai tong tham ngan	什麼時候不用工作？	初 4-5	ช่วง
ช่วงวันที่ 12 ถึงวันที่ 15	chuang wan thee sip song thueng wan thee sip ha	12號到15號期間	初 4-5	ช่วง
ช่วงปีใหม่	chuang pee mai	新年期間	初 4-5	ช่วง
สงกรานต์	songkran	潑水節	初 4-5	สง
ช่วงสงกรานต์	chuang songkran	潑水節期間	初 4-5	ช่วง, สง
ช่วงสงกรานต์ไปเที่ยวเมืองไทยไหม	chuang songkran pai thiao mueang thai mai	潑水節期間去泰國玩嗎？	初 4-5	ช่วง, สง
ช่วงตรุษจีน	chuang trut jeen	春節期間	初 4-5	ช่วง
ช่วงตรุษจีนหยุดเรียน	chuang trut jeen yut rian	春節期間停課	初 4-5	ช่วง
ช่วงตรุษจีนไปเที่ยวเมืองนอก	chuang trut jeen pai thiao mueang nok	春節期間去國外玩	初 4-5	ช่วง
หลังกินข้าวกินผลไม้	lang gin khao gin phonlamai	飯後吃水果	初 4-5	ผล
วันก่อนฝนตกหนัก	wan gon fon tok nak	前幾天下大雨	初 4-5	ฝน
เรียนจบแล้ว ต้องรีบหางาน	rian jop laeo tong reep ha ngan	畢業了，必須趕快找工作	初 4-5	จบ
ตอนนี้ฝนตก	ton nee fon tok	現在下雨	初 4-5	ฝน
ตั้งแต่ชาติที่แล้ว	Dtang dtae chat thi laeo	自從上輩子	初 4-6	ชาติ
พวกคุณรู้จักกันตั้งแต่เมื่อไหร่	Phuak khun ru chak kan dtang dtae muea rai	你們自從什麼時候認識的？	初 4-6	พวก
พวกเรารู้จักกันตั้งแต่สิบปีก่อน	Phuak rao ru chak kan dtang dtae sip pi kon	我們自從十年前就認識了	初 4-6	พวก
ตลอด	Dta lot	一直 / 總是	初 4-6	ตลอด
ตลอดชีวิต	Dta lot chi wit	一輩子 / 終生	初 4-6	ตลอด
ร้านเปิดตลอด	Ran poet dta lot	店一直開著	初 4-6	ตลอด
กินตลอด กินไม่หยุด	Gin dta lot gin mai yut	一直吃，吃個不停	初 4-6	ตลอด
ทำงานตลอด ไม่พักเลย	Tham ngan dta lot mai phak loei	一直工作，一點都不休息	初 4-6	ตลอด
ผมจะรักคุณตลอดไป	Phom ja rak khun dta lot pai	我會永遠愛你（男稱）	初 4-6	ตลอด
ฉันจะรักคุณตลอดไป	Chan ja rak khun dta lot pai	我會永遠愛你（女稱）	初 4-6	ตลอด
ผมสัญญา ผมจะรักคุณตลอดไป	Phom sanya phom ja rak khun dta lot pai	我承諾，我會永遠愛你	初 4-6	ตลอด
ผมจะรักคุณตลอดชีวิต	Phom ja rak khun dta lot chi wit	我一輩子都會愛你（男稱）	初 4-6	ตลอด
ฉันจะรักคุณตลอดชีวิต	Chan ja rak khun dta lot chi wit	我一輩子都會愛你（女稱）	初 4-6	ตลอด
ตอนนี้ยังอยู่บริษัท	Dtorn ni yang yu bo ri sat	現在還在公司	初 4-6	บริ
ตอนนี้ข้างนอกฝนกำลังตก	Dtorn ni khang nok fon gam lang dtok	現在外面正在下雨	初 4-6	ฝน
รถขยะจะมาตอนไหน	Rot kha ya ja ma dtorn nai	垃圾車什麼時候會來？	初 4-6	ขยะ
ไปเที่ยวไต้หวันช่วงไหนดี	Pai thiao Taiwan chuang nai di	去台灣玩哪段時間好呢？	初 4-6	ช่วง
ดีทุกช่วง	Di thuk chuang	每段時間都很好	初 4-6	ช่วง
ช่วงคริสต์มาสก็ดีนะ	Chuang Khrit mat ko di na	聖誕節期間也不錯	初 4-6	ช่วง
ช่วงตรุษจีน	Chuang Dtrut jin	春節期間	初 4-6	ช่วง
ช่วงสงกรานต์	Chuang Songkran	潑水節期間	初 4-6	ช่วง, สง
ช่วงนี้นอนดึก	Chuang ni non duek	最近很晚睡覺	初 4-6	ช่วง
ช่วงนี้นอนดึกเพราะว่าต้องทำโอที	Chuang ni non duek phro wa dtong tham o thi	最近很晚睡覺因為要加班	初 4-6	ช่วง, เพราะ
ช่วงนี้คุณยายไม่สบายบ่อย	Chuang ni khun yay mai sa bai boy	最近外婆常生病	初 4-6	ช่วง
หลังเรียนจบก็หางาน	Lang rian jop ko ha ngan	畢業後就找工作	初 4-6	จบ
หลังกินข้าวเสร็จก็กินผลไม้	Lang gin khao set ko gin phon la mai	吃完飯後吃水果	初 4-6	ผล
เพิ่งเรียนจบ	Phueng rian jop	剛畢業	初 4-6	จบ
สวนสัตว์	Suan sat	動物園	初 4-6	สวน
ชอบไปสวนสัตว์ไหม	Chop pai suan sat mai	喜歡去動物園嗎？	初 4-6	สวน
ก๋วยเตี๋ยวเป็ด	Kuaitiao pet	鴨肉麵	初 4-6	ก๋วย
ก๋วยเตี๋ยวเป็ดอร่อยมาก	Kuaitiao pet a roi mak	鴨肉麵非常好吃	初 4-6	ก๋วย
อ้วนเหมือนหมู	Uan muean mu	胖得像豬一樣	初 4-6	อ้วน
นก	Nok	鳥	初 4-6	นก
นกแก้ว	Nok kaew	鸚鵡	初 4-6	นก
นกกระจอก	Nok krachok	麻雀	初 4-6	นก
ไพ่นกกระจอก	Phai nok krachok	麻將	初 4-6	นก
เล่นไพ่นกกระจอกเป็นไหม	Len phai nok krachok pen mai	你會打麻將嗎？	初 4-6	นก
สิงคโปร์	Sing kha po	新加坡	初 4-6	สิงค
เคยไปสิงคโปร์ไหมคะ	Khoei pai sing kha po mai kha	去過新加坡嗎？	初 4-6	สิงค
โง่จริงๆ	Ngo jing jing	真的笨	初 4-6	จริง, ๆ
ตุ๊กตาหมี	Tuk ka ta mi	熊玩偶	初 4-6	กตา
ตุ๊กตาหมา	Tuk ka ta ma	狗玩偶	初 4-6	กตา
เล่นตุ๊กตา	Len tuk ka ta	玩公仔 / 玩偶	初 4-6	กตา
เกาะเต่า	Ko tao	龜島（地名）	初 4-6	เกาะ
เคยไปเกาะเต่าไหมคะ	Khoei pai ko tao mai kha	去過龜島嗎？	初 4-6	เกาะ
แมลงวัน	Ma laeng wan	蒼蠅	初 4-6	แมลง
มีแมลงวันเยอะ	Mi ma laeng wan yoe	有很多蒼蠅	初 4-6	แมลง
แมลงสาบ	Ma laeng sap	蟑螂	初 4-6	แมลง
กบ	Gop	青蛙	初 4-6	กบ
ท่ากบ	Tha gop	蛙式	初 4-6	กบ
ว่ายท่ากบเป็นไหม	Wai tha gop pen mai	會游蛙式嗎？	初 4-6	กบ
กบทอดกระเทียม	Gop thot gra thiam	蒜香炸青蛙	初 4-6	กบ
จระเข้	Cho ra khe	鱷魚	初 4-6	จระ
หนังจระเข้	Nang cho ra khe	鱷魚皮	初 4-6	จระ
กระเป๋าหนังจระเข้	Gra pao nang cho ra khe	鱷魚皮包	初 4-6	จระ
สวนสัตว์ไทเปมีสัตว์อะไรบ้าง	suan sat Taipei mee sat arai bang	台北動物園有些什麼動物？	初 4-7	สวน
สวนสัตว์ไทเปมีเสือ	suan sat Taipei mee suea	台北動物園有老虎	初 4-7	สวน
สวนสัตว์ไทเปมีสิงโต	suan sat Taipei mee singto	台北動物園有獅子	初 4-7	สวน
สวนสัตว์ไทเปมีแพนด้า	suan sat Taipei mee panda	台北動物園有熊貓	初 4-7	สวน
คนส่วนใหญ่เลี้ยงสัตว์อะไร	khon suan yai liang sat arai	大部分的人養什麼動物？	初 4-7	ส่วน
คนส่วนใหญ่เลี้ยงหมา	khon suan yai liang ma	大部分的人養狗	初 4-7	ส่วน
คนส่วนใหญ่เลี้ยงแมว	khon suan yai liang maeo	大部分的人養貓	初 4-7	ส่วน
คนส่วนใหญ่เลี้ยงกระต่าย	khon suan yai liang kratai	大部分的人養兔子	初 4-7	ส่วน
นกอยู่บนต้นไม้	nok yoo bon ton mai	鳥在樹上	初 4-7	ต้น, นก
นกบินอยู่บนฟ้า	nok bin yoo bon fa	鳥在天空中飛	初 4-7	นก
นก	nok	被放鴿子（或追求失敗）	初 4-7	นก
เพื่อนถูกมดกัด	phuean took mot kat	朋友被螞蟻咬	初 4-7	มด
พวกเราสั่งไข่มดแดงมากินกัน	phuak rao sang khai mot daeng ma kin kan	我們點紅螞蟻蛋來吃吧	初 4-7	พวก, มด
ยำไข่มดแดง	yam khai mot daeng	涼拌紅螞蟻蛋	初 4-7	มด
เคยไปเที่ยวเกาะเต่าไหม	khoei pai thiao kor tao mai	去過龜島玩嗎？	初 4-7	เกาะ
ผมไม่เคยไปเที่ยวเกาะเต่าครับ	phom mai khoei pai thiao kor tao krap	我沒去過龜島玩	初 4-7	เกาะ
