泰文	舊拼音(Sheet)	新拼音(目的達)	中文	來源	備註
ฉันชอบกินผลไม้นะ ทั้งมังคุด ลำไย ทุเรียน และมะละกอ	chan chop kin phonlamai na thang mangkhut lamyai thurian lae malako	chanˊ chɔ̄pˋ gin ponˊ mai~ na~ tang~ mang kut~ lam yai tu~ rīan lɛ~ ma~ la~ gɔ̄	喜歡吃水果，有山竹、龍眼、榴槤和木瓜	derived	
ฉันพูดได้ทั้งภาษาจีน ภาษาไทย และภาษาอังกฤษ	chan phut dai thang pasa jin pasa Thai lae pasa angkrit	chanˊ pūtˋ dhaiˋ tang~ pā sāˊ jīn pā sāˊ tai lɛ~ pā sāˊ ang gritˇ	我能說中文、泰文和英文	derived	
คนไทยส่วนใหญ่เป็นชาวพุทธ	khon Thai suan yai pen chao phut	kon tai sūanˇ yaiˇ ben chāu put~	泰國人大部分是佛教徒	derived	
ชาวพุทธ	chao phut	chāu put~	佛教徒	derived	
ส่วนใหญ่	suan yai	sūanˇ yaiˇ	大部分	engine-auto	
อาหารไทยส่วนใหญ่เผ็ดมาก	ahan Thai suan yai phet mak	ā hānˊ tai sūanˇ yaiˇ petˇ mākˋ	泰國菜大部分很辣	engine-auto	
ผลไม้ไต้หวันส่วนใหญ่หวานมาก	phonlamai Taiwan suan yai wan mak	ponˊ mai~ daiˋ wanˊ sūanˇ yaiˇ wānˊ mākˋ	台灣水果大部分很甜	derived	
คนไต้หวันส่วนใหญ่ไม่กินเผ็ด	khon Taiwan suan yai mai kin phet	kon daiˋ wanˊ sūanˇ yaiˇ maiˋ gin petˇ	台灣人大部分不吃辣	engine-auto	
ทำงานบริษัทเดียวกัน	tham ngan borisat diao kan	tam ngān bhɔ̄ ri~ satˇ dhīau gan	在同一家公司工作	derived	
ปลูกต้นไม้	pluk ton mai	blūkˇ donˋ mai~	種樹	derived	
เม็ดองุ่น	met angun	met~ aˇ ngunˋ	葡萄籽	derived	
เครื่องปั่นน้ำผลไม้	khreuang pan nam phonlamai	krɯ̄angˋ banˇ nām~ ponˊ mai~	果汁機	derived	
ผลไม้	pon la mai	ponˊ mai~	水果	derived	
คุณชอบกินผลไม้อะไรที่สุด	koon chawp gin pon la mai arai tee soot	kun chɔ̄pˋ gin ponˊ mai~ aˇ rai tīˋ sutˇ	你最喜歡吃什麼水果	derived	
คุณเอาน้ำผลไม้ไหม	koon ao naam pon la mai mai	kun au nām~ ponˊ mai~ maiˊ	你要果汁嗎	derived	
ต้นไม้	dton mai	donˋ mai~	樹	derived	
นี่ต้นอะไร	nee dton arai	nīˋ donˋ aˇ rai	這是什麼樹	derived	
นี่ต้นทุเรียน	nee dton too rian	nīˋ donˋ tu~ rīan	這是榴槤樹	derived	
นี่ต้นมะม่วง	nee dton ma muang	nīˋ donˋ ma~ mūangˋ	這是芒果樹	derived	
นี่ต้นเงาะ	nee dton ngoh	nīˋ donˋ ngɔ~	這是紅毛丹樹	derived	
ปลูกต้นไม้	bplook dton mai	blūkˇ donˋ mai~	種樹	derived	
เม็ดองุ่น	met a ngoon	met~ aˇ ngunˋ	葡萄籽	derived	
องุ่นไม่มีเม็ด	a ngoon mai mee met	aˇ ngunˋ maiˋ mī met~	無籽葡萄	derived	
สวน	suan	sūanˊ	園	engine-auto	
สวนผัก	suan pak	sūanˊ pakˇ	菜園	engine-auto	
สวนดอกไม้	suan dawk mai	sūanˊ dhɔ̄kˇ mai~	花園	engine-auto	
สวนผลไม้	suan pon la mai	sūanˊ ponˊ mai~	果園	derived	
สวนสนุก	suan sa nook	sūanˊ saˇ nuk~	遊樂園	engine-auto	
เคยไปสวนสนุกตอนเด็ก	koey bpai suan sa nook dtawn dek	kə̄i bai sūanˊ saˇ nuk~ dɔ̄n dhekˇ	小時候去過遊樂園	engine-auto	
ทั้งทุเรียนและมังคุดเป็นผลไม้ของไทย	tang too rian lae mang koot bpen pon la mai kawng tai	tang~ tu~ rīan lɛ~ mang kut~ ben ponˊ mai~ kɔ̄ngˊ tai	榴槤和山竹都是泰國水果	derived	
ส่วนใหญ่	suan yai	sūanˇ yaiˇ	大部分	engine-auto	
คนส่วนใหญ่ชอบสีอะไร	kon suan yai chawp see arai	kon sūanˇ yaiˇ chɔ̄pˋ sīˊ aˇ rai	大部分人喜歡什麼顏色	engine-auto	
ส่วนใหญ่เสาร์อาทิตย์ไปเที่ยวที่ไหน	suan yai sao aa tit bpai tiao tee nai	sūanˇ yaiˇ sāuˊ ā tit~ bai tīauˋ tīˋ naiˊ	週六日大部分去哪玩	engine-auto	
ขวดแรก	kuat raek	kūatˇ rɛ̄kˋ	第一瓶	derived	
ทำงานบริษัทเดียวกัน	tam ngaan baw ri sat diao gan	tam ngān bhɔ̄ ri~ satˇ dhīau gan	同一間公司工作	derived	
พวกเราเรียนต่อ	phuak rao rian tor	pūakˋ rāu rīan dɔ̄ˇ	我們繼續上課	engine-auto	
ทำหน้าอก	tham na ok	tam nāˋ okˇ	做胸部	derived	
ทำสวน	tham suan	tam sūanˊ	做園藝	engine-auto	
ทำพาสปอร์ตหาย	tham passport hai	tam pā saˇ bɔ̄tˇ hāiˊ	弄丟護照	derived	
做เป็นเข้าใจ	tham pen khao jai	做 ben kāuˋ jai	裝作懂了	engine-auto	
做ความสะอาด	tham khwam sa at	做 kwām saˇ ātˇ	打掃	engine-auto	
ทำสกปรก	tham sokkaprok	tam sokˇ brokˇ	弄髒	derived	
เงินสกปรก	ngoen sokkaprok	ngə̄n sokˇ brokˇ	髒錢	derived	
พวกเราเรียนต่อ	phuak rao rian tor	pūakˋ rāu rīan dɔ̄ˇ	我們繼續上課	engine-auto	
ทำหน้าอก	tham na ok	tam nāˋ okˇ	做胸部	derived	
ทำสวน	tham suan	tam sūanˊ	做園藝	engine-auto	
ทำพาสปอร์ตหาย	tham passport hai	tam pā saˇ bɔ̄tˇ hāiˊ	弄丟護照	derived	
ทำสกปรก	tham sokkaprok	tam sokˇ brokˇ	弄髒	derived	
เงินสกปรก	ngoen sokkaprok	ngə̄n sokˇ brokˇ	髒錢	derived	
เรียนจบหรือยัง	rian jop rue yang	rīan jopˇ rɯ̄ˊ yang	畢業了沒？	derived	
พูดจบหรือยัง	phut jop rue yang	pūtˋ jopˇ rɯ̄ˊ yang	說完了沒？	derived	
พูดถึงละครไทย	phut thueng lakhon thai	pūtˋ tɯngˊ la~ kɔ̄n tai	提到泰劇	derived	
กินเลี้ยงบริษัท	Kin liang borisat	gin līang~ bhɔ̄ ri~ satˇ	公司聚餐（如尾牙）	derived	
ข้างนอกฝนตกหนัก ทำยังไงดี	khang nok fon tok nak tham yang ngai di	kāngˋ nɔ̄kˋ fonˊ dokˇ nakˇ tam yang ngai dhī	外面下大雨該怎麼辦	derived	
ฝนหยุดหรือยัง	fon yut rue yang	fonˊ yutˇ rɯ̄ˊ yang	雨停了沒	derived	
เรียนจบหรือยัง	rian chop rue yang	rīan jopˇ rɯ̄ˊ yang	畢業了沒	derived	
ลูกคุณเรียนจบหรือยัง	luk khun rian chop rue yang	lūkˋ kun rīan jopˇ rɯ̄ˊ yang	你的孩子畢業了沒	derived	
พูดจบหรือยัง	phut chop rue yang	pūtˋ jopˇ rɯ̄ˊ yang	說完了沒	derived	
คุณพูดจบหรือยัง	khun phut chop rue yang	kun pūtˋ jopˇ rɯ̄ˊ yang	你說完了沒	derived	
ละครจบแล้ว	lakhon chop laeo	la~ kɔ̄n jopˇ lɛ̄u~	連續劇結束了	derived	
แม่กำลังจะออกไปข้างนอกซื้อผลไม้	mae kam lang cha ok pai khang nok bue phon la mai	mɛ̄ˋ gam lang jaˇ ɔ̄kˇ bai kāngˋ nɔ̄kˋ sɯ̄~ ponˊ mai~	媽媽正要出去外面買水果	derived	
คนอีสานส่วนใหญ่ทำนาปลูกข้าว	Khon Isan Suan Yai Tham Na Pluk Khao	kon ī sānˊ sūanˇ yaiˇ tam nā blūkˇ kāuˋ	東北部的人大部分種田、種稻	engine-auto	
พวกเราไปทำบุญกัน	Phuak Rao Pai Tham Bun Kan	pūakˋ rāu bai tam bhun gan	我們一起去做功德	engine-auto	
ชาติหน้า	Chat Na	chātˋ nāˋ	下輩子	derived	
ชาติหน้าเจอกันอีก	Chat Na Choe Kan Ik	chātˋ nāˋ jə̄ gan īkˇ	下輩子再見	derived	
พาสปอร์ตหาย	Passport Hai	pā saˇ bɔ̄tˇ hāiˊ	護照不見了	derived	
หายปวด หายเจ็บ	Hai Puat Hai Chep	hāiˊ būatˇ hāiˊ jepˇ	疼痛的感覺消失了	engine-auto	
สกปรก	Sokkaprok	sokˇ brokˇ	髒	derived	
ใครทำสกปรก	Khrai Tham Sokkaprok	krai tam sokˇ brokˇ	誰弄髒的？	derived	
ทำไมสกปรกอย่างนี้	Thammai Sokkaprok Yang Ni	tam mai sokˇ brokˇ yāngˋ nī~	為什麼這麼髒？	derived	
ส่งผิดโต๊ะ	Song Phit To	songˇ pitˇ do~	送錯桌	derived	
เพราะ	phro	prɔ~	好聽	engine-auto	
เพลงนี้เพราะ	phleng ni phro	plēng nī~ prɔ~	這首歌好聽	engine-auto	
เพลงนี้เพราะใครร้อง	phleng ni phro khrai rong	plēng nī~ prɔ~ krai rɔ̄ng~	這首歌好聽，誰唱的？	engine-auto	
ชาติ	chat	chātˋ	國家/國籍	derived	
เพลงชาติ	phleng chat	plēng chātˋ	國歌	derived	
ร้องเพลงชาติ	rong phleng chat	rɔ̄ng~ plēng chātˋ	唱國歌	derived	
บอกความจริง	bok khwam ching	bhɔ̄kˇ kwām jing	說真相	derived	
จริง	ching	jing	真的	derived	
บอกความจริงฉัน	bok khwam ching chan	bhɔ̄kˇ kwām jing chanˊ	告訴我真相	derived	
ไม่บอกความจริง	mai bok khwam ching	maiˋ bhɔ̄kˇ kwām jing	不說真相	derived	
ฟังดนตรี	fang dontri	fang dhon drī	聽音樂	derived	
ดนตรี	dontri	dhon drī	音樂	derived	
ดนตรีไทย	dontri thai	dhon drī tai	泰國音樂	derived	
ดนตรีจีน	dontri chin	dhon drī jīn	中國音樂	derived	
ดนตรีฝรั่ง	dontri farang	dhon drī faˇ rangˋ	西方音樂	derived	
พริกป่น	phrik pon	prik~ bonˇ	辣椒粉	derived	
ใส่พริกป่น	sai phrik pon	saiˇ prik~ bonˇ	加辣椒粉	derived	
พริกไทยป่น	phrik thai pon	prik~ tai bonˇ	胡椒粉	derived	
น้ำตาลทราย	nam tan sai	nām~ dān sāi	砂糖	derived	
นมข้น	nom khon	nom konˋ	煉乳	derived	
ต้นหอม	ton hom	donˋ hɔ̄mˊ	蔥	derived	
ไม่เอาต้นหอม	mai ao ton hom	maiˋ au donˋ hɔ̄mˊ	不要蔥	derived	
ไม่ใส่ต้นหอม	mai sai ton hom	maiˋ saiˇ donˋ hɔ̄mˊ	不加蔥	derived	
เปิดพัดลม	poet phat lom	bə̄tˇ pat~ lom	開電風扇	derived	
ปิดพัดลม	pit phat lom	bitˇ pat~ lom	關電風扇	derived	
ใส่หมวก	sai muak	saiˇ mūakˇ	戴帽子	engine-auto	
หมวก	muak	mūakˇ	帽子	engine-auto	
หมวกสีเขียว	muak si khiao	mūakˇ sīˊ kīauˊ	綠色帽子	engine-auto	
ถอดหมวก	thot muak	tɔ̄tˇ mūakˇ	脫帽子	engine-auto	
หน้ากากอนามัย	nakak anamai	nāˋ gākˇ aˇ nā mai	口罩（正式）	derived	
อนามัย	anamai	aˇ nā mai	衛生	derived	
ถุงยางอนามัย	thung yang anamai	tungˊ yāng aˇ nā mai	保險套（正式）	derived	
พวกเราไปร้องคาราโอเกะกัน	Phuak rao pai rong kharaoke kan	pūakˋ rāu bai rɔ̄ng~ kā rā ō geˇ gan	我們一起去唱卡拉OK吧	engine-auto	
เพลงฝรั่ง	Pheng farang	plēng faˇ rangˋ	英文歌（西方歌）	derived	
เพราะ	Phraw	prɔ~	好聽	engine-auto	
เพลงนี้เพราะมาก	Pheng ni phraw mak	plēng nī~ prɔ~ mākˋ	這首歌很好聽	engine-auto	
เสียงเขาเพราะมาก	Siang khao phraw mak	sīangˊ kāuˊ prɔ~ mākˋ	他的聲音很好聽	engine-auto	
ดนตรี	Dontri	dhon drī	音樂	derived	
พี่ชายเล่นดนตรีเก่งมาก	Phi chai len dontri keng mak	pīˋ chāi lēnˋ dhon drī gēngˇ mākˋ	哥哥很會玩音樂	derived	
ดนตรีทำให้น้องชายแฮปปี้	Dontri thammai nong chai happy	dhon drī tam haiˋ nɔ̄ng~ chāi hɛ̄pˋ bīˋ	音樂讓弟弟很快樂	derived	
บอกความจริง	bok kwam jing	bhɔ̄kˇ kwām jing	說真相（實話）	derived	
บอกความจริงเขาดีกว่า	bok kwam jing kao di kwa	bhɔ̄kˇ kwām jing kāuˊ dhī gwāˇ	告訴他真相比較好	derived	
ทำไมไม่บอกความจริง	tam mai mai bok kwam jing	tam mai maiˋ bhɔ̄kˇ kwām jing	為什麼不說真相	derived	
เปิดพัดลมได้ไหม	perd pat lom dai mai	bə̄tˇ pat~ lom dhaiˋ maiˊ	可以開電風扇嗎	derived	
เดือนตุลาคม	deuan tu la kom	dhɯ̄an duˇ lā kom	十月	derived	
เดือนเมษายน	deuan me sa yon	dhɯ̄an mē sāˊ yon	四月	derived	
สกปรก	sokkaprok	sokˇ brokˇ	髒	derived	
ไม่ใส่น้ำตาลทราย	mai sai namtansai	maiˋ saiˇ nām~ dān sāi	不加砂糖	derived	
ใส่แต่นมข้น	sai tae nomkhon	saiˇ dɛ̄ˇ nom konˋ	只加煉乳	derived	
ถอดหมวก	thot muak	tɔ̄tˇ mūakˇ	脫帽子	engine-auto	
หน้ากากอนามัย	nakak anamai	nāˋ gākˇ aˇ nā mai	口罩	derived	
อนามัย	anamai	aˇ nā mai	衛生	derived	
ออกไปข้างนอกต้องใส่หน้ากากอนามัย	awk pai khangnawk tong sai nakak anamai	ɔ̄kˇ bai kāngˋ nɔ̄kˋ dɔ̄ngˋ saiˇ nāˋ gākˇ aˇ nā mai	出去外面必須戴口罩	derived	
เพราะว่าตื่นสาย	phraw wa tuen sai	prɔ~ wāˋ dɯ̄nˇ sāiˊ	因為晚起	engine-auto	
ถ่ายละคร	thae lakhon	tāiˇ la~ kɔ̄n	拍戲（劇）	derived	
เพิ่งเรียนจบ	perng rian jop	pə̄ngˋ rīan jopˇ	剛畢業	derived	
พวกเรานั่งตุ๊กตุ๊กดีกว่า	phuak rao nang tuk tuk di kwa	pūakˋ rāu nangˋ duk~ duk~ dhī gwāˇ	我們坐嘟嘟車吧	engine-auto	
ถ่ายละคร	tai lakhon	tāiˇ la~ kɔ̄n	拍戲	derived	
ไปดูดาราถ่ายละคร	pai du dara tai lakhon	bai dhū dhā rā tāiˇ la~ kɔ̄n	去看明星拍戲	derived	
สวัสดีค่ะ ฉันอยากจองที่นั่งค่ะ	sawadee kha chan yak jong thi nang kha	saˇ watˇ dhī kaˋ chanˊ yākˋ jɔ̄ng tīˋ nangˋ kaˋ	你好，我想訂位	derived	
จองเวลานวด	jong wela nuat	jɔ̄ng wē lā nūatˋ	預約按摩時間	engine-auto	
มีข่าวดี	mi khao di	mī kāˇ dhī	有好消息	derived	
ลืมหมดแล้ว	luem mot laeo	lɯ̄m motˇ lɛ̄u~	全都忘光了	derived	
แบตหมด	baet mot	bhɛ̄tˇ motˇ	沒電了	derived	
ขายหมดแล้ว	khai mot laeo	kāiˊ motˇ lɛ̄u~	賣光了	derived	
เห็นแล้วจะอ้วก	hen laeo ja uak	henˊ lɛ̄~ jaˇ ūakˋ	看了想吐	derived	
อ้วก	uak	ūakˋ	吐	engine-auto	
เติมลม	toem lom	də̄m lom	打氣	derived	
บัตรเติมเงิน	bat toem ngoen	bhatˇ də̄m ngə̄n	儲值卡	derived	
บัตร	bat	bhatˇ	卡	derived	
บัตรเครดิต	bat credit	bhatˇ krē dhitˇ	信用卡	derived	
ใช้บัตรเครดิตได้มั้ย	chai bat credit dai mai	chai~ bhatˇ krē dhitˇ dhaiˋ mai~	可以用信用卡嗎？	derived	
บัตรนักเรียน	bat nak rian	bhatˇ nak~ rīan	學生證	derived	
สถานีชิดลม	sathani chit lom	saˇ tāˊ nī chit~ lom	奇隆站	derived	
ทิ้งขยะ	thing khaya	ting~ kaˇ yaˇ	丟垃圾	derived	
ขยะ	khaya	kaˇ yaˇ	垃圾	derived	
ถังขยะ	thang khaya	tangˊ kaˇ yaˇ	垃圾桶	derived	
สวัสดีปีใหม่	sawatdee pi mai	saˇ watˇ dhī bī maiˇ	新年快樂	derived	
สวัสดีค่ะ	sawatdee kha	saˇ watˇ dhī kaˋ	你好	derived	
สวัสดีปีใหม่	sawatdee pee mai	saˇ watˇ dhī bī maiˇ	新年快樂	derived	
เพราะเงินเยอะก็เลยยอมทำโอที	phraw ngern yoe kor loey yorm tham OT	prɔ~ ngə̄n yə~ gɔ̄ˋ lə̄i yɔ̄m tam ō tī	因為錢多，所以願意加班	engine-auto	
ไม่ยอมพูดความจริง	mai yorm phood khwam jing	maiˋ yɔ̄m pūtˋ kwām jing	不肯說真相	derived	
ข่าวจริง	khao jing	kāuˇ jing	真新聞	derived	
ข่าวจริงหรือข่าวปลอม	khao jing rue khao plom	kāuˇ jing rɯ̄ˊ kāuˇ blɔ̄m	真新聞還是假新聞	derived	
ฉันมีข่าวดีจะบอกคุณ	chan mee khao dee ja bok khun	chanˊ mī kāˇ dhī jaˇ bhɔ̄kˇ kun	我有好消息要告訴你	derived	
เคยเห็นผลไม้นี้ไหม	khuey hen phonlamai nee mai	kə̄i henˊ ponˊ mai~ nī~ maiˊ	見過這個水果嗎？	derived	
ไม่เคยเห็นผลไม้นี้ค่ะ	mai khuey hen phonlamai nee kha	maiˋ kə̄i henˊ ponˊ mai~ nī~ kaˋ	沒見過這個水果。	derived	
ฉันเห็นกับตาเมื่อคืนมีผีจริงๆ	chan hen gap dta muea khuen mee phee jing jing	chanˊ henˊ gapˇ dā mɯ̄aˋ kɯ̄n mī pīˊ jing jing	我親眼看見昨天晚上真的有鬼（女）。	derived	
ผมเห็นกับตาเมื่อคืนมีผีจริงๆ	phom hen gap dta muea khuen mee phee jing jing	pomˊ henˊ gapˇ dā mɯ̄aˋ kɯ̄n mī pīˊ jing jing	我親眼看見昨天晚上真的有鬼（男）。	derived	
ผมเห็นกับตาเขาทำสกปรก	phom hen gap dta khao tham sokgaprok	pomˊ henˊ gapˇ dā kāuˊ tam sokˇ brokˇ	我親眼看見他弄髒的（男）。	derived	
ฉันเห็นกับตาเขาทำสกปรก	chan hen gap dta khao tham sokgaprok	chanˊ henˊ gapˇ dā kāuˊ tam sokˇ brokˇ	我親眼看見他弄髒的（女）。	derived	
พวกเขาไม่เห็นด้วย	phuak khao mai hen duay	pūakˋ kāuˊ maiˋ henˊ dhūayˋ	他們不同意。	engine-auto	
ฉันเห็นใจเพื่อนร่วมงาน	chan hen jai phuean ruam ngan	chanˊ henˊ jai pɯ̄anˋ rūamˋ ngān	我同情同事。	engine-auto	
